Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-07-08 16:19:31.035275,1755.76922549,2546.3939391393,278.84614544,5991.727272128101,7400.76923744,3832.2121208289,1099.35896769,5760.9393933633,803.97435168,2760.6969694209,1919.87178994,6090.6363630273,1985.51281572,4293.7878783585,1526.02563526,3914.6363632449,2116.79486728,6304.9393933089,7991.53846946,6865.4242417377,1952.69230283,2843.1212118369,6317.94872233,4260.8181813921,2251.02563679,3354.1515148161,8090.00000813,0,0,0,?
2018-07-08 16:19:31.051232,2313.71794462,2546.3939391393,935.25640324,5991.727272128101,7794.61539212,3832.2121208289,1066.53845480,5760.9393933633,1493.20512237,2760.6969694209,1493.20512237,6090.6363630273,1427.56409659,4293.7878783585,935.25640324,3914.6363632449,1263.46153214,6304.9393933089,7761.79487923,6865.4242417377,672.69230012,2843.1212118369,6055.38461921,4260.8181813921,8191.41026475,3354.1515148161,1657.30768682,0,0,0,?
2018-07-08 16:19:31.059211,3954.74358912,2546.3939391393,3921.92307623,5991.727272128101,2576.28204774,3832.2121208289,278.84614544,5760.9393933633,7499.23077611,2760.6969694209,5070.51282225,6090.6363630273,7893.07693079,4293.7878783585,1493.20512237,3914.6363632449,2248.07691884,6304.9393933089,3987.56410201,6865.4242417377,5956.79487541,2843.1212118369,7663.58975082,4260.8181813921,5007.94871955,3354.1515148161,1657.30768682,0,0,0,?
2018-07-08 16:19:31.065194,2609.10256063,2546.3939391393,3626.53846022,5991.727272128101,2740.38461219,3832.2121208289,8221.28205969,5760.9393933633,7991.53846946,2760.6969694209,5267.43589959,6090.6363630273,836.79486457,4293.7878783585,1329.10255792,3914.6363632449,1887.05127705,6304.9393933089,3889.10256334,6865.4242417377,4972.17948871,2843.1212118369,7204.10257036,4260.8181813921,4056.15384574,3354.1515148161,1887.05127705,0,0,0,?
2018-07-08 16:19:31.065194,2609.10256063,2546.3939391393,3626.53846022,5991.727272128101,2740.38461219,3832.2121208289,8221.28205969,5760.9393933633,7991.53846946,2760.6969694209,5267.43589959,6090.6363630273,836.79486457,4293.7878783585,1329.10255792,3914.6363632449,1887.05127705,6304.9393933089,3889.10256334,6865.4242417377,4972.17948871,2843.1212118369,7204.10257036,4260.8181813921,4056.15384574,3354.1515148161,1887.05127705,0,0,0,?
2018-07-08 16:19:31.071179,2313.71794462,2546.3939391393,1427.56409659,5991.727272128101,7335.12821166,3832.2121208289,8221.28205969,5760.9393933633,49.10255521,2760.6969694209,8254.10257258,6090.6363630273,1099.35896769,4293.7878783585,1952.69230283,3914.6363632449,1526.02563526,6304.9393933089,1197.82050636,6865.4242417377,2674.74358641,2843.1212118369,6810.25641568,4260.8181813921,3268.46153638,3354.1515148161,8090.00000813,0,0,0,?
2018-07-08 16:19:31.087136,1427.56409659,2546.3939391393,935.25640324,5991.727272128101,7597.69231478,3832.2121208289,1460.38460948,5760.9393933633,1230.64101925,2760.6969694209,1493.20512237,6090.6363630273,1657.30768682,4293.7878783585,935.25640324,3914.6363632449,1394.74358370,6304.9393933089,7991.53846946,6865.4242417377,8286.92308547,2843.1212118369,6153.84615788,4260.8181813921,6616.02564603,3354.1515148161,968.07691613,0,0,0,?
2018-07-08 16:19:31.093121,2477.82050907,2546.3939391393,3265.51281843,5991.727272128101,3134.23076687,3832.2121208289,836.79486457,5760.9393933633,7958.71795657,2760.6969694209,4676.66666757,6090.6363630273,771.15383879,4293.7878783585,639.87178723,3914.6363632449,2116.79486728,6304.9393933089,5005.00000160,6865.4242417377,6022.43590119,2843.1212118369,7236.92308325,4260.8181813921,3793.58974262,3354.1515148161,1558.84614815,0,0,0,?
2018-07-08 16:19:31.093121,869.61537746,2546.3939391393,8122.82052102,5991.727272128101,5694.10256716,3832.2121208289,1657.30768682,5760.9393933633,836.79486457,2760.6969694209,2970.12820242,6090.6363630273,1952.69230283,4293.7878783585,541.41024856,3914.6363632449,1230.64101925,6304.9393933089,6875.64103120,6865.4242417377,7203.84616010,2843.1212118369,5333.33333563,4260.8181813921,7173.97436516,3354.1515148161,7827.43590501,0,0,0,?
2018-07-08 16:19:31.109077,3593.71794733,2546.3939391393,2970.12820242,5991.727272128101,2543.46153485,3832.2121208289,1000.89742902,5760.9393933633,213.20511966,2760.6969694209,6153.58974762,6090.6363630273,607.05127434,4293.7878783585,1657.30768682,3914.6363632449,2182.43589306,6304.9393933089,2970.12820242,6865.4242417377,4775.25641137,2843.1212118369,7368.20513481,4260.8181813921,3498.20512661,3354.1515148161,1985.51281572,0,0,0,?
2018-07-08 16:19:31.109077,2904.48717664,4244.3333329089,1690.12819971,5991.727272128101,442.94870989,3832.2121208289,935.25640324,5760.9393933633,147.56409388,2760.6969694209,49.10255521,6090.6363630273,1690.12819971,4293.7878783585,1099.35896769,3914.6363632449,2051.15384150,6304.9393933089,607.05127434,6865.4242417377,3002.94871531,2843.1212118369,6908.71795435,4260.8181813921,3038.71794615,3354.1515148161,16.28204232,0,0,0,?
2018-07-08 16:19:31.123040,1558.84614815,4244.3333329089,1296.28204503,5662.0303024641,6908.46154409,3832.2121208289,1788.58973838,5760.9393933633,1624.48717393,2760.6969694209,2871.66666375,6090.6363630273,1919.87178994,4293.7878783585,508.58973567,3914.6363632449,1164.99999347,6304.9393933089,6087.94872184,6865.4242417377,7532.05128900,2843.1212118369,5005.12820673,4260.8181813921,6845.76923626,3354.1515148161,475.76922278,0,0,0,?
